Negative,Magnification,,Scan,,Alignment sf of area,Pre-Test Downscaling,,sf,Final sf_L,Final sf_A,1/sf_L,1/sf_A,Special Notice
Name,(nm/nm),(mm/nm),(ppi = pix/in),(pix/mm),det(S) (pix2/pix2),in res,out res,(pix/pix),(pix/nm),(pix2/nm2),(nm/pix),(nm2/pix2),
1hr2767_1,60000,0.06,720,28.34645669,4.431197259,4198,512,0.1219628394,0.4366546593,0.1906672915,2.290139309,5.244738057,
1hr2768_2,60000,0.06,720,28.34645669,4.22174197,4198,512,0.1219628394,0.4262097691,0.1816547673,2.346262504,5.504947736,
1hr2769_3,60000,0.06,720,28.34645669,4.202867725,4198,512,0.1219628394,0.4252559687,0.1808426389,2.351524902,5.529669364,
1hr2770_4,60000,0.06,720,28.34645669,4.259292718,4198,512,0.1219628394,0.4281010577,0.1832705156,2.335897055,5.456415053,
2789,,,,,,,512,,0.4290553637,0.1841088033,2.330955943,5.433942552,
,,,,,,,512,,,,,,
1hr2761_2,49000,0.049,720,28.34645669,4.156612644,4989,512,0.1026257767,0.2906170527,0.08445827132,3.44095431,11.84016656,
1hr2760_1,49000,0.049,720,28.34645669,4.051674325,4989,512,0.1026257767,0.2869251263,0.08232602813,3.485229798,12.14682674,
2761,,,,,4.104143485,,512,,0.2887710895,0.08339214972,3.463092054,11.99349665,
,,,,,,,512,,,,,,
1hr2759,49000,0.049,720,28.34645669,3.938140227,5268,512,0.09719058466,0.2678950214,0.07176774247,3.732805466,13.93383665,
,,,,,,,512,,,,,,
1hr2757_2,49000,0.049,720,28.34645669,4.109618852,4740,512,0.1080168776,0.3041496014,0.09250698002,3.287855698,10.80999509,train data
1hr2756_1,49000,0.049,720,28.34645669,4.099684772,4740,512,0.1080168776,0.3037817723,0.09228336519,3.291836743,10.83618914,train data
2756,,,,,4.04914795,,512,,0.3039656868,0.09239517261,3.289846221,10.82309212,
,,,,,,,512,,,,,,
1hr2752_2,49000,0.049,720,28.34645669,4.166016322,4786,512,0.1069786878,0.3032861724,0.09198250235,3.297215934,10.87163291,
1hr2753_3,49000,0.049,720,28.34645669,4.013093355,4786,512,0.1069786878,0.2976677316,0.08860607843,3.359450467,11.28590744,
1hr2751_1,49000,0.049,720,28.34645669,4.221846033,4786,512,0.1069786878,0.3053116118,0.09321518031,3.275342179,10.72786639,
2753,,,,,4.133651903,,512,,0.3020885053,0.09126792036,3.310669527,10.96180225,
,,,,,,,512,,,,,,
1hr2750_5,60000,0.06,720,28.34645669,4.164083095,n/a is train data,512,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,train data
1hr2750_3,60000,0.06,720,28.34645669,4.147144524,n/a is train data,512,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,train data
1hr2750_2,60000,0.06,720,28.34645669,4.176514159,n/a is train data,512,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,train data
1hr2750_4,60000,0.06,720,28.34645669,4.19010115,n/a is train data,512,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,train data
2750,,,,,4.169460732,,512,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
,,,,,,,512,,,,,,
1hr2745_1,60000,0.06,720,28.34645669,4.062442206,5024,512,0.101910828,0.3493525827,0.122047227,2.862437691,8.193549533,
1hr2746_2,60000,0.06,720,28.34645669,4.0519471,5024,512,0.101910828,0.3489010238,0.1217319244,2.866142349,8.214771965,
2745,,,,,4.094616679,,512,,0.3491268032,0.1218895757,2.86429002,8.204160749,
,,,,,,,512,,,,,,
1hr2739_1,60000,0.06,720,28.34645669,4.054786232,4502,512,0.1137272323,0.3894919464,0.1517039763,2.567447182,6.59178503,
1hr2740_2,60000,0.06,720,28.34645669,4.161030172,4502,512,0.1137272323,0.3945617062,0.15567894,2.534457815,6.423476418,
1hr2741_3,60000,0.06,720,28.34645669,4.251901687,4502,512,0.1137272323,0.3988467959,0.1590787666,2.507228365,6.286194073,
1hr2742_4,60000,0.06,720,28.34645669,4.160477782,4502,512,0.1137272323,0.3945355157,0.1556582731,2.534626061,6.424329268,
2741,,,,,4.157048968,,512,,0.3943589911,0.155529989,2.535939856,6.431446197,
,,,,,,,512,,,,,,
1hr2734_4,60000,0.06,720,28.34645669,4.08305775,4458,512,0.1148497084,0.3947050549,0.1557920803,2.533537353,6.41881152,train data
1hr2733_3,60000,0.06,720,28.34645669,4.102210568,4458,512,0.1148497084,0.3956297135,0.1565228702,2.527616015,6.38884272,train data
1hr2732_2,60000,0.06,720,28.34645669,4.12560206,4458,512,0.1148497084,0.3967560836,0.1574153899,2.520440244,6.352619022,train data
1hr2731_1,60000,0.06,720,28.34645669,4.139112015,4458,512,0.1148497084,0.3974051738,0.1579308722,2.516323556,6.331884237,train data
2734,,,,,4.112495598,,512,,0.3961240064,0.1569153031,2.524479292,6.373039375,
,,,,,,,512,,,,,,
1hr2530_2,60000,0.06,720,28.34645669,4.1712109,4988,512,0.1026463512,0.3565534317,0.1271303496,2.804628735,7.86594234,
1hr2531_3,60000,0.06,720,28.34645669,4.169594329,4988,512,0.1026463512,0.3564843331,0.1270810797,2.805172366,7.868992002,
1hr2529_1,60000,0.06,720,28.34645669,4.137371796,4988,512,0.1026463512,0.35510421,0.1260989999,2.816074752,7.930277008,
2530,,,,,4.159392342,,512,,0.3560473249,0.1267701431,2.808625284,7.888403784,
,,,,,,,512,,,,,,
2hr2364_3,60000,0.06,720,28.34645669,3.613876602,3690,512,0.1387533875,0.4486217081,0.201261437,2.229049513,4.968661731,
2hr2363_2,60000,0.06,720,28.34645669,3.903514075,3690,512,0.1387533875,0.4662528504,0.2173917205,2.144759006,4.599991194,
2hr2362_1,60000,0.06,720,28.34645669,3.854639176,3690,512,0.1387533875,0.4633247398,0.2146698145,2.158313412,4.658316785,
2364,,,,,3.790676618,,512,,0.4593997661,0.2111076573,2.177373977,4.742323237,
,,,,,,,512,,,,,,
2hr2360_2,60000,0.06,720,28.34645669,3.889777879,3758,512,0.1362426823,0.4570099088,0.2088580568,2.188136363,4.787940745,not used
2hr2361_3,60000,0.06,720,28.34645669,3.886467233,3758,512,0.1362426823,0.4568153836,0.2086802947,2.189068136,4.792019302,not used
2hr2359_1,60000,0.06,720,28.34645669,3.834077173,3758,512,0.1362426823,0.4537259728,0.2058672584,2.203973455,4.85749899,not used
2361,,,,,3.870107428,,512,,0.4558504218,0.20780187,2.193725985,4.812486346,
,,,,,,,512,,,,,,
2hr2357_2,60000,0.06,720,28.34645669,3.631151833,3521,512,0.1454132349,0.471276919,0.2221019344,2.121894707,4.502437147,
2hr2356_1,60000,0.06,720,28.34645669,3.631033147,3521,512,0.1454132349,0.471269217,0.2220946749,2.121929385,4.502584317,
2356,,,,,3.710764136,,512,,0.471273068,0.2220983047,2.121912046,4.502510732,
,,,,,,,512,,,,,,
,,,,,,,512,,,,,,
2hr2355_3,60000,0.06,720,28.34645669,3.987379484,3792,512,0.135021097,0.4585592385,0.2102765752,2.180743328,4.755641464,
2hr2354_2,60000,0.06,720,28.34645669,4.021681665,3792,512,0.135021097,0.4605274356,0.2120855189,2.171423291,4.715079111,
2hr2353_1,60000,0.06,720,28.34645669,4.011573293,3792,512,0.135021097,0.4599483108,0.2115524486,2.174157349,4.726960178,
2354,,,,,4.006878147,,512,,0.4596783283,0.2113048476,2.175441323,4.732560251,
,,,,,,,512,,,,,,
2hr2350_1,60000,0.06,720,28.34645669,4.126413344,3894,512,0.1314843349,0.4542661839,0.2063577658,2.201352501,4.845952834,not used
2hr2352_3,60000,0.06,720,28.34645669,3.929667151,3894,512,0.1314843349,0.443304283,0.1965186873,2.255786913,5.088574597,not used
2hr2351_2,60000,0.06,720,28.34645669,3.948368758,3894,512,0.1314843349,0.4443578916,0.1974539358,2.250438259,5.064472359,not used
2353,,,,,4.001483084,,512,,0.4473094528,0.2001101296,2.235859224,4.999666597,
,,,,,,,512,,,,,,
2hr2348_2,60000,0.06,720,28.34645669,4.194300596,4012,512,0.1276171486,0.4445174792,0.1975957893,2.249630322,5.060836586,
2hr2349_3,60000,0.06,720,28.34645669,4.088584659,4012,512,0.1276171486,0.4388797716,0.1926154539,2.278528346,5.191691424,
2hr2347_1,60000,0.06,720,28.34645669,4.530705915,4012,512,0.1276171486,0.4620000297,0.2134440275,2.164502025,4.685069017,
2349,,,,,4.271197057,,512,,0.4484657602,0.2012184236,2.230886898,4.979199009,
,,,,,,,512,,,,,,
2hr2341_1,60000,0.06,720,28.34645669,4.26529112,3758,512,0.1362426823,0.4785612771,0.229020896,2.089596563,4.366413797,train data
2hr2343_3,60000,0.06,720,28.34645669,4.330732949,3758,512,0.1362426823,0.4822185552,0.232534735,2.073748489,4.300432794,train data
2hr2342_2,60000,0.06,720,28.34645669,4.309853207,3758,512,0.1362426823,0.4810546916,0.2314136164,2.078765715,4.321266898,train data
2340,,,,,4.301959092,,512,,0.480611508,0.2309897491,2.080703589,4.329371163,
,,,,,,,512,,,,,,
2hr2331_2,60000,0.06,720,28.34645669,4.11072662,4199,512,0.1219337938,0.4204684503,0.1767937177,2.378299726,5.656309585,
2hr2330_1,60000,0.06,720,28.34645669,4.022131513,4199,512,0.1219337938,0.4159127652,0.1729834282,2.404350344,5.780900576,
2331,,,,,4.144939075,,512,,0.4181906077,0.174888573,2.391325035,5.718605081,
,,,,,,,512,,,,,,
2hr2311_3,60000,0.06,720,28.34645669,3.947726293,3758,512,0.1362426823,0.4604015027,0.2119695437,2.172017237,4.717658879,not used
2hr2310_2,60000,0.06,720,28.34645669,3.884164827,3758,512,0.1362426823,0.4566800511,0.2085566691,2.189716843,4.794859854,not used
2hr2309_1,60000,0.06,720,28.34645669,3.869333598,3758,512,0.1362426823,0.4558073276,0.2077603199,2.193909443,4.813238643,not used
2317,,,,,3.900408239,,512,,0.4576296271,0.2094288442,2.185214508,4.775252459,
,,,,,,,512,,,,,,
