Image Name,Total Grains,Average Area (pixels)
53,6,145051.1665725708
142,1,314635.8171386719
107,6,160859.79625193277
193,12,123448.62001291911
16,13,111171.78231811523
82,74,24592.79881678401
08,18,75591.05047268338
119,7,106022.3390764509
270,4,197725.9294090271
235,5,95335.51999511718
179,13,121035.17077401969
68,27,46994.34417781123
76,33,51147.87606302897
167,16,65142.3516702652
122,7,106022.3390764509
33,15,79120.92328898112
255,9,121347.26312425401
210,14,90193.62662179129
284,25,54074.89109741211
224,22,74876.37387084961
261,8,144521.26914978027
108,6,160859.79625193277
19,13,111171.78231811523
93,7,124512.38736179897
07,18,75591.05047268338
182,15,78313.97541198731
116,46,38091.42426266878
153,10,79619.36690979004
42,21,66587.25477745419
295,16,62323.86510562897
201,7,149021.84443882533
244,24,60718.04559326172
22,18,77739.54455566406
133,11,101701.48147583008
176,15,79691.58452148437
67,27,46994.34417781123
79,74,24592.79881678401
168,16,65142.3516702652
269,6,120330.02509562175
277,30,51122.715694173174
232,8,114759.0795211792
145,5,116497.3939819336
54,6,145051.1665725708
11,17,88224.20899245318
85,33,43438.58599344889
100,7,172000.19748578753
194,12,123448.62001291911
252,10,128353.50127563477
217,7,181520.89573669434
283,25,54074.89109741211
209,12,102091.26796722412
160,3,144019.3228708903
71,8,137570.3747138977
34,15,79120.92328898112
125,3,379974.16949971515
185,23,55399.13378508195
111,10,67670.29217681885
94,27,45017.97634887695
45,25,55401.345178222655
154,10,79619.36690979004
223,22,74876.37387084961
266,10,133028.3535369873
278,30,51122.715694173174
134,11,101701.48147583008
25,18,77739.54455566406
60,24,57302.76810201009
171,17,52280.110371309165
218,7,181520.89573669434
292,28,60650.11687305995
206,9,143451.27722676596
243,24,60718.04559326172
132,11,101701.48147583008
23,18,77739.54455566406
66,15,67471.45254618327
177,13,121035.17077401969
169,16,65142.3516702652
78,33,51147.87606302897
294,16,62323.86510562897
200,22,67874.84561157227
245,24,60718.04559326172
18,13,111171.78231811523
109,6,160859.79625193277
183,23,55399.13378508195
117,46,38091.42426266878
92,7,124512.38736179897
06,18,75591.05047268338
43,25,55401.345178222655
152,10,79619.36690979004
225,9,132573.6962398953
260,15,73795.14434916178
254,10,128353.50127563477
211,14,90193.62662179129
285,18,54606.024109734426
69,27,46994.34417781123
178,13,121035.17077401969
166,22,55104.14779663086
77,33,51147.87606302897
32,15,79120.92328898112
123,3,379974.16949971515
271,4,197725.9294090271
234,5,95335.51999511718
143,5,116497.3939819336
52,6,145051.1665725708
17,13,111171.78231811523
83,74,24592.79881678401
106,22,60306.767822265625
192,12,123448.62001291911
118,46,38091.42426266878
09,18,75591.05047268338
219,5,262967.87461242673
293,28,60650.11687305995
207,12,102091.26796722412
242,21,69861.11766851516
24,18,77739.54455566406
135,7,106713.31930541992
170,16,65142.3516702652
